1250,1021
1406,1559
1617,1148
975,1537
1716,279
502,1660
608,1112
305,1219
240,1871
444,270
1486,1425
607,1808
830,1152
321,1929
103,501
726,1131
1327,490
1260,969
1346,1812
1551,107
942,558
1396,815
1646,1457
1720,1306
1120,1199
1541,1452
437,1375
525,1410
597,754
966,1252
61,372
1491,798
1862,862
731,845
275,1145
1641,1903
647,205
1695,1452
1456,71
1031,1988
1364,1464
343,1614
1926,1818
400,1424
485,1135
3,748
1106,1122
833,279
1211,1182
318,133
1001,285
465,704
242,984
539,1464
1052,382
1425,1044
863,240
775,966
502,73
859,1453
1394,1082
1900,1108
1226,755
757,840
418,1582
297,1558
935,422
1452,1027
757,709
476,1253
1701,74
1963,1502
1623,1081
378,330
856,413
835,1310
159,265
1491,848
649,284
962,1733
1599,1138
1841,85
706,1511
942,1851
339,486
1175,760
1904,1056
1913,968
334,1257
1011,860
0,1964
1292,1638
946,782
558,628
532,0
77,1491
1526,1054
936,772
1501,1508
571,316
1279,32
1902,1590
1072,99
1918,115
1770,530
1494,1266
1410,1673
122,1066
1309,1582
1263,867
671,1587
394,1557
923,1093
324,1401
1068,178
1014,124
990,1703
1911,161
1722,1975
287,901
797,1064
951,926
868,1944
256,1325
1237,29
1340,371
1229,809
1692,752
18,1100
1639,598
900,1652
1284,1900
149,351
1237,1375
1201,577
928,402
1916,129
795,1206
263,45
130,660
271,334
1080,247
434,1447
216,664
398,1895
1111,977
1480,862
1161,1218
662,1787
684,482
1450,644
